id,Easting,Northing,Longitude,Latitude
1122,708243.500,9323995.000,106.882,-6.113
1123,708244.000,9323995.000,106.882,-6.113
1124,708244.500,9323995.000,106.882,-6.113
1125,708245.000,9323995.000,106.882,-6.113
1126,708245.500,9323995.000,106.882,-6.113
1127,708246.000,9323995.000,106.882,-6.113
1128,708246.500,9323995.000,106.882,-6.113
1129,708247.000,9323995.000,106.882,-6.113
1130,708247.500,9323995.000,106.882,-6.113
1131,708248.000,9323995.000,106.882,-6.113
1132,708248.500,9323995.000,106.882,-6.113
1133,708249.000,9323995.000,106.882,-6.113
1134,708249.500,9323995.000,106.882,-6.113
1135,708250.000,9323995.000,106.882,-6.113
1136,708250.500,9323995.000,106.882,-6.113
1137,708251.000,9323995.000,106.882,-6.113
1138,708251.500,9323995.000,106.882,-6.113
1139,708252.000,9323995.000,106.882,-6.113
1140,708252.500,9323995.000,106.882,-6.113
1141,708253.000,9323995.000,106.882,-6.113
1142,708253.500,9323995.000,106.882,-6.113
1143,708254.000,9323995.000,106.882,-6.113
1144,708254.500,9323995.000,106.882,-6.113
1145,708255.000,9323995.000,106.882,-6.113
1146,708255.500,9323995.000,106.882,-6.113
1147,708256.000,9323995.000,106.882,-6.113
1148,708256.500,9323995.000,106.882,-6.113
1149,708257.000,9323995.000,106.882,-6.113
1150,708257.500,9323995.000,106.882,-6.113
1151,708258.000,9323995.000,106.882,-6.113
1152,708258.500,9323995.000,106.882,-6.113
1153,708259.000,9323995.000,106.882,-6.113
1154,708259.500,9323995.000,106.882,-6.113
1155,708260.000,9323995.000,106.882,-6.113
1156,708260.500,9323995.000,106.882,-6.113
1157,708261.000,9323995.000,106.882,-6.113
1158,708261.500,9323995.000,106.882,-6.113
1159,708262.000,9323995.000,106.882,-6.113
1164,708243.000,9323994.500,106.882,-6.113
1165,708243.500,9323994.500,106.882,-6.113
1166,708244.000,9323994.500,106.882,-6.113
1167,708244.500,9323994.500,106.882,-6.113
1168,708245.000,9323994.500,106.882,-6.113
1169,708245.500,9323994.500,106.882,-6.113
1170,708246.000,9323994.500,106.882,-6.113
